index,field,pv,value,record_type
1239,error_sum,SR13A-PC-HSTR-04:ERCSUM,0,ai
1239,error_sum,SR13A-PC-VSTR-04:ERCSUM,0,ai
1239,state,SR13A-PC-HSTR-04:STATE,2,ai
1239,state,SR13A-PC-VSTR-04:STATE,2,ai
1245,error_sum,SR13A-PC-HSTR-05:ERCSUM,0,ai
1245,error_sum,SR13A-PC-VSTR-05:ERCSUM,0,ai
1245,state,SR13A-PC-HSTR-05:STATE,2,ai
1245,state,SR13A-PC-VSTR-05:STATE,2,ai
1250,enabled,SR13C-DI-EBPM-05:CF:ENABLED_S,1,ai
1255,error_sum,SR13A-PC-HSTR-06:ERCSUM,0,ai
1255,error_sum,SR13A-PC-VSTR-06:ERCSUM,0,ai
1255,state,SR13A-PC-HSTR-06:STATE,2,ai
1255,state,SR13A-PC-VSTR-06:STATE,2,ai
1258,offset,SR13A-PC-Q3B-08:OFFSET1,0,ai
1260,enabled,SR13C-DI-EBPM-06:CF:ENABLED_S,1,ai
1262,offset,SR13A-PC-Q2B-09:OFFSET1,0,ai
1265,error_sum,SR13A-PC-HSTR-07:ERCSUM,0,ai
1265,error_sum,SR13A-PC-VSTR-07:ERCSUM,0,ai
1265,state,SR13A-PC-HSTR-07:STATE,2,ai
1265,state,SR13A-PC-VSTR-07:STATE,2,ai
1268,offset,SR13A-PC-Q1B-10:OFFSET1,0,ai
1270,enabled,SR13C-DI-EBPM-07:CF:ENABLED_S,1,ai
1284,enabled,SR14C-DI-EBPM-01:CF:ENABLED_S,1,ai
1286,offset,SR14A-PC-Q1B-01:OFFSET1,0,ai
1289,error_sum,SR14A-PC-HSTR-01:ERCSUM,0,ai
1289,error_sum,SR14A-PC-VSTR-01:ERCSUM,0,ai
1289,state,SR14A-PC-HSTR-01:STATE,2,ai
1289,state,SR14A-PC-VSTR-01:STATE,2,ai
1292,offset,SR14A-PC-Q2B-02:OFFSET1,0,ai
1294,offset,SR14A-PC-Q3B-03:OFFSET1,0,ai
1297,error_sum,SR14A-PC-HSTR-02:ERCSUM,0,ai
1297,error_sum,SR14A-PC-VSTR-02:ERCSUM,0,ai
1297,state,SR14A-PC-HSTR-02:STATE,2,ai
1297,state,SR14A-PC-VSTR-02:STATE,2,ai
1300,enabled,SR14C-DI-EBPM-02:CF:ENABLED_S,1,ai
1306,enabled,SR14C-DI-EBPM-03:CF:ENABLED_S,1,ai
1309,error_sum,SR14A-PC-HSTR-03:ERCSUM,0,ai
1309,error_sum,SR14A-PC-VSTR-03:ERCSUM,0,ai
1309,state,SR14A-PC-HSTR-03:STATE,2,ai
1309,state,SR14A-PC-VSTR-03:STATE,2,ai
1314,enabled,SR14C-DI-EBPM-04:CF:ENABLED_S,1,ai
1317,error_sum,SR14A-PC-HSTR-04:ERCSUM,0,ai
1317,error_sum,SR14A-PC-VSTR-04:ERCSUM,0,ai
1317,state,SR14A-PC-HSTR-04:STATE,2,ai
1317,state,SR14A-PC-VSTR-04:STATE,2,ai
1323,error_sum,SR14A-PC-HSTR-05:ERCSUM,0,ai
1323,error_sum,SR14A-PC-VSTR-05:ERCSUM,0,ai
1323,state,SR14A-PC-HSTR-05:STATE,2,ai
1323,state,SR14A-PC-VSTR-05:STATE,2,ai
1328,enabled,SR14C-DI-EBPM-05:CF:ENABLED_S,1,ai
1333,error_sum,SR14A-PC-HSTR-06:ERCSUM,0,ai
1333,error_sum,SR14A-PC-VSTR-06:ERCSUM,0,ai
1333,state,SR14A-PC-HSTR-06:STATE,2,ai
1333,state,SR14A-PC-VSTR-06:STATE,2,ai
1336,offset,SR14A-PC-Q3B-08:OFFSET1,0,ai
1338,enabled,SR14C-DI-EBPM-06:CF:ENABLED_S,1,ai
1340,offset,SR14A-PC-Q2B-09:OFFSET1,0,ai
1343,error_sum,SR14A-PC-HSTR-07:ERCSUM,0,ai
1343,error_sum,SR14A-PC-VSTR-07:ERCSUM,0,ai
1343,state,SR14A-PC-HSTR-07:STATE,2,ai
1343,state,SR14A-PC-VSTR-07:STATE,2,ai
1346,offset,SR14A-PC-Q1B-10:OFFSET1,0,ai
1348,enabled,SR14C-DI-EBPM-07:CF:ENABLED_S,1,ai
1363,enabled,SR15C-DI-EBPM-01:CF:ENABLED_S,1,ai
1365,offset,SR15A-PC-Q1B-01:OFFSET1,0,ai
1368,error_sum,SR15A-PC-HSTR-01:ERCSUM,0,ai
1368,error_sum,SR15A-PC-VSTR-01:ERCSUM,0,ai
1368,state,SR15A-PC-HSTR-01:STATE,2,ai
1368,state,SR15A-PC-VSTR-01:STATE,2,ai
1371,offset,SR15A-PC-Q2B-02:OFFSET1,0,ai
1373,offset,SR15A-PC-Q3B-03:OFFSET1,0,ai
1376,error_sum,SR15A-PC-HSTR-02:ERCSUM,0,ai
1376,error_sum,SR15A-PC-VSTR-02:ERCSUM,0,ai
1376,state,SR15A-PC-HSTR-02:STATE,2,ai
1376,state,SR15A-PC-VSTR-02:STATE,2,ai
1379,enabled,SR15C-DI-EBPM-02:CF:ENABLED_S,1,ai
1385,enabled,SR15C-DI-EBPM-03:CF:ENABLED_S,1,ai
1388,error_sum,SR15A-PC-HSTR-03:ERCSUM,0,ai
1388,error_sum,SR15A-PC-VSTR-03:ERCSUM,0,ai
1388,state,SR15A-PC-HSTR-03:STATE,2,ai
1388,state,SR15A-PC-VSTR-03:STATE,2,ai
1393,enabled,SR15C-DI-EBPM-04:CF:ENABLED_S,1,ai
1396,error_sum,SR15A-PC-HSTR-04:ERCSUM,0,ai
1396,error_sum,SR15A-PC-VSTR-04:ERCSUM,0,ai
1396,state,SR15A-PC-HSTR-04:STATE,2,ai
1396,state,SR15A-PC-VSTR-04:STATE,2,ai
1402,error_sum,SR15A-PC-HSTR-05:ERCSUM,0,ai
1402,error_sum,SR15A-PC-VSTR-05:ERCSUM,0,ai
1402,state,SR15A-PC-HSTR-05:STATE,2,ai
1402,state,SR15A-PC-VSTR-05:STATE,2,ai
1407,enabled,SR15C-DI-EBPM-05:CF:ENABLED_S,1,ai
1412,error_sum,SR15A-PC-HSTR-06:ERCSUM,0,ai
1412,error_sum,SR15A-PC-VSTR-06:ERCSUM,0,ai
1412,state,SR15A-PC-HSTR-06:STATE,2,ai
1412,state,SR15A-PC-VSTR-06:STATE,2,ai
1415,offset,SR15A-PC-Q3B-08:OFFSET1,0,ai
1417,enabled,SR15C-DI-EBPM-06:CF:ENABLED_S,1,ai
1419,offset,SR15A-PC-Q2B-09:OFFSET1,0,ai
1422,error_sum,SR15A-PC-HSTR-07:ERCSUM,0,ai
1422,error_sum,SR15A-PC-VSTR-07:ERCSUM,0,ai
1422,state,SR15A-PC-HSTR-07:STATE,2,ai
1422,state,SR15A-PC-VSTR-07:STATE,2,ai
1425,offset,SR15A-PC-Q1B-10:OFFSET1,0,ai
1427,enabled,SR15C-DI-EBPM-07:CF:ENABLED_S,1,ai
1443,enabled,SR16C-DI-EBPM-01:CF:ENABLED_S,1,ai
1445,offset,SR16A-PC-Q1B-01:OFFSET1,0,ai
1448,error_sum,SR16A-PC-HSTR-01:ERCSUM,0,ai
1448,error_sum,SR16A-PC-VSTR-01:ERCSUM,0,ai
1448,state,SR16A-PC-HSTR-01:STATE,2,ai
1448,state,SR16A-PC-VSTR-01:STATE,2,ai
1451,offset,SR16A-PC-Q2B-02:OFFSET1,0,ai
1453,offset,SR16A-PC-Q3B-03:OFFSET1,0,ai
1456,error_sum,SR16A-PC-HSTR-02:ERCSUM,0,ai
1456,error_sum,SR16A-PC-VSTR-02:ERCSUM,0,ai
1456,state,SR16A-PC-HSTR-02:STATE,2,ai
1456,state,SR16A-PC-VSTR-02:STATE,2,ai
1459,enabled,SR16C-DI-EBPM-02:CF:ENABLED_S,1,ai
1465,enabled,SR16C-DI-EBPM-03:CF:ENABLED_S,1,ai
1468,error_sum,SR16A-PC-HSTR-03:ERCSUM,0,ai
1468,error_sum,SR16A-PC-VSTR-03:ERCSUM,0,ai
1468,state,SR16A-PC-HSTR-03:STATE,2,ai
1468,state,SR16A-PC-VSTR-03:STATE,2,ai
