index,field,pv,value,read-only
118,enabled,SR02C-DI-EBPM-02:CF:ENABLED_S,1,True
134,enabled,SR02C-DI-EBPM-03:CF:ENABLED_S,1,True
147,enabled,SR02C-DI-EBPM-04:CF:ENABLED_S,1,True
161,enabled,SR02C-DI-EBPM-05:CF:ENABLED_S,1,True
183,enabled,SR02C-DI-EBPM-06:CF:ENABLED_S,1,True
193,enabled,SR02C-DI-EBPM-07:CF:ENABLED_S,1,True
218,enabled,SR02C-DI-EBPM-08:CF:ENABLED_S,1,True
246,enabled,SR03C-DI-EBPM-01:CF:ENABLED_S,1,True
262,enabled,SR03C-DI-EBPM-02:CF:ENABLED_S,1,True
268,enabled,SR03C-DI-EBPM-03:CF:ENABLED_S,1,True
276,enabled,SR03C-DI-EBPM-04:CF:ENABLED_S,1,True
290,enabled,SR03C-DI-EBPM-05:CF:ENABLED_S,1,True
300,enabled,SR03C-DI-EBPM-06:CF:ENABLED_S,1,True
310,enabled,SR03C-DI-EBPM-07:CF:ENABLED_S,1,True
344,enabled,SR04C-DI-EBPM-01:CF:ENABLED_S,1,True
360,enabled,SR04C-DI-EBPM-02:CF:ENABLED_S,1,True
366,enabled,SR04C-DI-EBPM-03:CF:ENABLED_S,1,True
374,enabled,SR04C-DI-EBPM-04:CF:ENABLED_S,1,True
388,enabled,SR04C-DI-EBPM-05:CF:ENABLED_S,1,True
398,enabled,SR04C-DI-EBPM-06:CF:ENABLED_S,1,True
408,enabled,SR04C-DI-EBPM-07:CF:ENABLED_S,1,True
425,enabled,SR05C-DI-EBPM-01:CF:ENABLED_S,1,True
441,enabled,SR05C-DI-EBPM-02:CF:ENABLED_S,1,True
447,enabled,SR05C-DI-EBPM-03:CF:ENABLED_S,1,True
455,enabled,SR05C-DI-EBPM-04:CF:ENABLED_S,1,True
469,enabled,SR05C-DI-EBPM-05:CF:ENABLED_S,1,True
479,enabled,SR05C-DI-EBPM-06:CF:ENABLED_S,1,True
489,enabled,SR05C-DI-EBPM-07:CF:ENABLED_S,1,True
516,enabled,SR06C-DI-EBPM-01:CF:ENABLED_S,1,True
532,enabled,SR06C-DI-EBPM-02:CF:ENABLED_S,1,True
538,enabled,SR06C-DI-EBPM-03:CF:ENABLED_S,1,True
546,enabled,SR06C-DI-EBPM-04:CF:ENABLED_S,1,True
560,enabled,SR06C-DI-EBPM-05:CF:ENABLED_S,1,True
570,enabled,SR06C-DI-EBPM-06:CF:ENABLED_S,1,True
580,enabled,SR06C-DI-EBPM-07:CF:ENABLED_S,1,True
608,enabled,SR07C-DI-EBPM-01:CF:ENABLED_S,1,True
624,enabled,SR07C-DI-EBPM-02:CF:ENABLED_S,1,True
630,enabled,SR07C-DI-EBPM-03:CF:ENABLED_S,1,True
638,enabled,SR07C-DI-EBPM-04:CF:ENABLED_S,1,True
652,enabled,SR07C-DI-EBPM-05:CF:ENABLED_S,1,True
663,enabled,SR07C-DI-EBPM-06:CF:ENABLED_S,1,True
673,enabled,SR07C-DI-EBPM-07:CF:ENABLED_S,1,True
687,enabled,SR08C-DI-EBPM-01:CF:ENABLED_S,1,True
703,enabled,SR08C-DI-EBPM-02:CF:ENABLED_S,1,True
709,enabled,SR08C-DI-EBPM-03:CF:ENABLED_S,1,True
717,enabled,SR08C-DI-EBPM-04:CF:ENABLED_S,1,True
731,enabled,SR08C-DI-EBPM-05:CF:ENABLED_S,1,True
741,enabled,SR08C-DI-EBPM-06:CF:ENABLED_S,1,True
757,enabled,SR08C-DI-EBPM-07:CF:ENABLED_S,1,True
769,enabled,SR09S-DI-EBPM-01:CF:ENABLED_S,1,True
782,enabled,SR09S-DI-EBPM-02:CF:ENABLED_S,1,True
797,enabled,SR09C-DI-EBPM-01:CF:ENABLED_S,1,True
819,enabled,SR09C-DI-EBPM-02:CF:ENABLED_S,1,True
825,enabled,SR09C-DI-EBPM-03:CF:ENABLED_S,1,True
833,enabled,SR09C-DI-EBPM-04:CF:ENABLED_S,1,True
847,enabled,SR09C-DI-EBPM-05:CF:ENABLED_S,1,True
857,enabled,SR09C-DI-EBPM-06:CF:ENABLED_S,1,True
867,enabled,SR09C-DI-EBPM-07:CF:ENABLED_S,1,True
917,enabled,SR10C-DI-EBPM-01:CF:ENABLED_S,1,True
933,enabled,SR10C-DI-EBPM-02:CF:ENABLED_S,1,True
939,enabled,SR10C-DI-EBPM-03:CF:ENABLED_S,1,True
947,enabled,SR10C-DI-EBPM-04:CF:ENABLED_S,1,True
961,enabled,SR10C-DI-EBPM-05:CF:ENABLED_S,1,True
971,enabled,SR10C-DI-EBPM-06:CF:ENABLED_S,1,True
981,enabled,SR10C-DI-EBPM-07:CF:ENABLED_S,1,True
1009,enabled,SR11C-DI-EBPM-01:CF:ENABLED_S,1,True
1025,enabled,SR11C-DI-EBPM-02:CF:ENABLED_S,1,True
1031,enabled,SR11C-DI-EBPM-03:CF:ENABLED_S,1,True
1039,enabled,SR11C-DI-EBPM-04:CF:ENABLED_S,1,True
1055,enabled,SR11C-DI-EBPM-05:CF:ENABLED_S,1,True
1065,enabled,SR11C-DI-EBPM-06:CF:ENABLED_S,1,True
1075,enabled,SR11C-DI-EBPM-07:CF:ENABLED_S,1,True
1090,enabled,SR12C-DI-EBPM-01:CF:ENABLED_S,1,True
1106,enabled,SR12C-DI-EBPM-02:CF:ENABLED_S,1,True
1112,enabled,SR12C-DI-EBPM-03:CF:ENABLED_S,1,True
1120,enabled,SR12C-DI-EBPM-04:CF:ENABLED_S,1,True
1134,enabled,SR12C-DI-EBPM-05:CF:ENABLED_S,1,True
1144,enabled,SR12C-DI-EBPM-06:CF:ENABLED_S,1,True
1160,enabled,SR12C-DI-EBPM-07:CF:ENABLED_S,1,True
1172,enabled,SR13S-DI-EBPM-01:CF:ENABLED_S,1,True
1185,enabled,SR13S-DI-EBPM-02:CF:ENABLED_S,1,True
1200,enabled,SR13C-DI-EBPM-01:CF:ENABLED_S,1,True
1222,enabled,SR13C-DI-EBPM-02:CF:ENABLED_S,1,True
1228,enabled,SR13C-DI-EBPM-03:CF:ENABLED_S,1,True
1236,enabled,SR13C-DI-EBPM-04:CF:ENABLED_S,1,True
1250,enabled,SR13C-DI-EBPM-05:CF:ENABLED_S,1,True
