index,field,pv,value,read-only
3,golden_offset_x,SR01C-DI-EBPM-01:CF:GOLDEN_X_S,0,False
3,golden_offset_y,SR01C-DI-EBPM-01:CF:GOLDEN_Y_S,0,False
3,bcd_offset_x,SR01C-DI-EBPM-01:CF:BCD_X_S,0,False
3,bcd_offset_y,SR01C-DI-EBPM-01:CF:BCD_Y_S,0,False
3,bba_offset_x,SR01C-DI-EBPM-01:CF:BBA_X_S,0,False
3,bba_offset_y,SR01C-DI-EBPM-01:CF:BBA_Y_S,0,False
19,golden_offset_x,SR01C-DI-EBPM-02:CF:GOLDEN_X_S,0,False
19,golden_offset_y,SR01C-DI-EBPM-02:CF:GOLDEN_Y_S,0,False
19,bcd_offset_x,SR01C-DI-EBPM-02:CF:BCD_X_S,0,False
19,bcd_offset_y,SR01C-DI-EBPM-02:CF:BCD_Y_S,0,False
19,bba_offset_x,SR01C-DI-EBPM-02:CF:BBA_X_S,0,False
19,bba_offset_y,SR01C-DI-EBPM-02:CF:BBA_Y_S,0,False
