set pv,offset,delta
SR10A-PC-Q2B-09:SETI,SR10A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:10Q2B09:I
SR10A-PC-Q3B-03:SETI,SR10A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:10Q3B03:I
SR10A-PC-Q3B-08:SETI,SR10A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:10Q3B08:I
SR11A-PC-Q1B-01:SETI,SR11A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:11Q1B01:I
SR11A-PC-Q1B-10:SETI,SR11A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:11Q1B10:I
SR11A-PC-Q2B-02:SETI,SR11A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:11Q2B02:I
SR11A-PC-Q2B-09:SETI,SR11A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:11Q2B09:I
SR11A-PC-Q3B-03:SETI,SR11A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:11Q3B03:I
SR11A-PC-Q3B-08:SETI,SR11A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:11Q3B08:I
SR12A-PC-Q1B-01:SETI,SR12A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:12Q1B01:I
SR12A-PC-Q1D-10:SETI,SR12A-PC-Q1D-10:OFFSET1,SR-CS-TFB-01:12Q1D10:I
SR12A-PC-Q2B-02:SETI,SR12A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:12Q2B02:I
SR12A-PC-Q2D-09:SETI,SR12A-PC-Q2D-09:OFFSET1,SR-CS-TFB-01:12Q2D09:I
SR12A-PC-Q3B-03:SETI,SR12A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:12Q3B03:I
SR12A-PC-Q3D-08:SETI,SR12A-PC-Q3D-08:OFFSET1,SR-CS-TFB-01:12Q3D08:I
SR13A-PC-Q1B-10:SETI,SR13A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:13Q1B10:I
SR13A-PC-Q1D-01:SETI,SR13A-PC-Q1D-01:OFFSET1,SR-CS-TFB-01:13Q1D01:I
SR13A-PC-Q2B-09:SETI,SR13A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:13Q2B09:I
SR13A-PC-Q2D-02:SETI,SR13A-PC-Q2D-02:OFFSET1,SR-CS-TFB-01:13Q2D02:I
SR13A-PC-Q3B-08:SETI,SR13A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:13Q3B08:I
SR13A-PC-Q3D-03:SETI,SR13A-PC-Q3D-03:OFFSET1,SR-CS-TFB-01:13Q3D03:I
SR14A-PC-Q1B-01:SETI,SR14A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:14Q1B01:I
SR14A-PC-Q1B-10:SETI,SR14A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:14Q1B10:I
SR14A-PC-Q2B-02:SETI,SR14A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:14Q2B02:I
SR14A-PC-Q2B-09:SETI,SR14A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:14Q2B09:I
SR14A-PC-Q3B-03:SETI,SR14A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:14Q3B03:I
SR14A-PC-Q3B-08:SETI,SR14A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:14Q3B08:I
SR15A-PC-Q1B-01:SETI,SR15A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:15Q1B01:I
SR15A-PC-Q1B-10:SETI,SR15A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:15Q1B10:I
SR15A-PC-Q2B-02:SETI,SR15A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:15Q2B02:I
SR15A-PC-Q2B-09:SETI,SR15A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:15Q2B09:I
SR15A-PC-Q3B-03:SETI,SR15A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:15Q3B03:I
SR15A-PC-Q3B-08:SETI,SR15A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:15Q3B08:I
SR16A-PC-Q1B-01:SETI,SR16A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:16Q1B01:I
SR16A-PC-Q1D-10:SETI,SR16A-PC-Q1D-10:OFFSET1,SR-CS-TFB-01:16Q1D10:I
SR16A-PC-Q2B-02:SETI,SR16A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:16Q2B02:I
SR16A-PC-Q2D-09:SETI,SR16A-PC-Q2D-09:OFFSET1,SR-CS-TFB-01:16Q2D09:I
SR16A-PC-Q3B-03:SETI,SR16A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:16Q3B03:I
SR16A-PC-Q3D-08:SETI,SR16A-PC-Q3D-08:OFFSET1,SR-CS-TFB-01:16Q3D08:I
SR17A-PC-Q1B-10:SETI,SR17A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:17Q1B10:I
SR17A-PC-Q1D-01:SETI,SR17A-PC-Q1D-01:OFFSET1,SR-CS-TFB-01:17Q1D01:I
SR17A-PC-Q2B-09:SETI,SR17A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:17Q2B09:I
SR17A-PC-Q2D-02:SETI,SR17A-PC-Q2D-02:OFFSET1,SR-CS-TFB-01:17Q2D02:I
SR17A-PC-Q3B-08:SETI,SR17A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:17Q3B08:I
SR17A-PC-Q3D-03:SETI,SR17A-PC-Q3D-03:OFFSET1,SR-CS-TFB-01:17Q3D03:I
SR18A-PC-Q1B-01:SETI,SR18A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:18Q1B01:I
SR18A-PC-Q1B-10:SETI,SR18A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:18Q1B10:I
SR18A-PC-Q2B-02:SETI,SR18A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:18Q2B02:I
SR18A-PC-Q2B-09:SETI,SR18A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:18Q2B09:I
SR18A-PC-Q3B-03:SETI,SR18A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:18Q3B03:I
SR18A-PC-Q3B-08:SETI,SR18A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:18Q3B08:I
SR19A-PC-Q1B-01:SETI,SR19A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:19Q1B01:I
SR19A-PC-Q1B-10:SETI,SR19A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:19Q1B10:I
SR19A-PC-Q2B-02:SETI,SR19A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:19Q2B02:I
SR19A-PC-Q2B-09:SETI,SR19A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:19Q2B09:I
