pv,upper,lower
SR02A-PC-Q4E-05:SETI,200.0,0.0
SR02A-PC-Q4E-06:I,200.0,0.0
SR02A-PC-Q4E-06:SETI,200.0,0.0
SR02A-PC-HSCOR-02:I,4.0,-4.0
SR02A-PC-HSCOR-02:SETI,4.0,-4.0
SR02A-PC-VSCOR-02:I,4.0,-4.0
SR02A-PC-VSCOR-02:SETI,4.0,-4.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR02A-PC-S3E-06:I,100.0,-100.0
SR02A-PC-S3E-06:SETI,100.0,-100.0
SR02A-PC-Q3E-07:I,200.0,0.0
SR02A-PC-Q3E-07:SETI,200.0,0.0
SR02A-PC-SQUAD-04:I,5.0,-5.0
SR02A-PC-SQUAD-04:SETI,5.0,-5.0
SR02A-PC-HSTR-07:I,5.0,-5.0
SR02A-PC-HSTR-07:SETI,5.0,-5.0
SR02A-PC-S4E-07:I,100.0,-100.0
SR02A-PC-S4E-07:SETI,100.0,-100.0
SR02A-PC-VSTR-07:I,5.0,-5.0
SR02A-PC-VSTR-07:SETI,5.0,-5.0
SR02A-PC-Q3E-08:I,200.0,0.0
SR02A-PC-Q3E-08:SETI,200.0,0.0
SR02A-PC-SQUAD-05:I,5.0,-5.0
SR02A-PC-SQUAD-05:SETI,5.0,-5.0
SR02A-PC-HSTR-08:I,5.0,-5.0
SR02A-PC-HSTR-08:SETI,5.0,-5.0
SR02A-PC-S3E-08:I,100.0,0.0
SR02A-PC-S3E-08:SETI,100.0,0.0
SR02A-PC-VSTR-08:I,5.0,-5.0
SR02A-PC-VSTR-08:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR02A-PC-S2BE-09:I,100.0,0.0
SR02A-PC-S2BE-09:SETI,100.0,0.0
SR02A-PC-Q2BE-09:I,200.0,0.0
SR02A-PC-Q2BE-09:SETI,200.0,0.0
SR02A-PC-SQUAD-06:I,5.0,-5.0
SR02A-PC-SQUAD-06:SETI,5.0,-5.0
SR02A-PC-HSTR-10:I,5.0,-5.0
SR02A-PC-HSTR-10:SETI,5.0,-5.0
SR02A-PC-S1BE-10:I,100.0,0.0
SR02A-PC-S1BE-10:SETI,100.0,0.0
SR02A-PC-VSTR-10:I,5.0,-5.0
SR02A-PC-VSTR-10:SETI,5.0,-5.0
SR02A-PC-Q1BE-10:I,200.0,0.0
SR02A-PC-Q1BE-10:SETI,200.0,0.0
SR03A-PC-Q1B-01:I,200.0,0.0
SR03A-PC-Q1B-01:SETI,200.0,0.0
SR03A-PC-SQUAD-01:I,5.0,-5.0
SR03A-PC-SQUAD-01:SETI,5.0,-5.0
SR03A-PC-HSTR-01:I,5.0,-5.0
SR03A-PC-HSTR-01:SETI,5.0,-5.0
SR03A-PC-S1B-01:I,100.0,-100.0
SR03A-PC-S1B-01:SETI,100.0,-100.0
SR03A-PC-VSTR-01:I,5.0,-5.0
SR03A-PC-VSTR-01:SETI,5.0,-5.0
SR03A-PC-Q2B-02:I,200.0,0.0
SR03A-PC-Q2B-02:SETI,200.0,0.0
SR03A-PC-Q3B-03:I,200.0,0.0
SR03A-PC-Q3B-03:SETI,200.0,0.0
SR03A-PC-HSTR-02:I,5.0,-5.0
SR03A-PC-HSTR-02:SETI,5.0,-5.0
SR03A-PC-S2B-02:I,100.0,-100.0
SR03A-PC-S2B-02:SETI,100.0,-100.0
SR03A-PC-VSTR-02:I,5.0,-5.0
SR03A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR03A-PC-Q2AB-04:I,200.0,0.0
SR03A-PC-Q2AB-04:SETI,200.0,0.0
SR03A-PC-SQUAD-02:I,5.0,-5.0
SR03A-PC-SQUAD-02:SETI,5.0,-5.0
SR03A-PC-HSTR-03:I,5.0,-5.0
SR03A-PC-HSTR-03:SETI,5.0,-5.0
SR03A-PC-S2A-03:I,100.0,0.0
SR03A-PC-S2A-03:SETI,100.0,0.0
SR03A-PC-VSTR-03:I,5.0,-5.0
SR03A-PC-VSTR-03:SETI,5.0,-5.0
SR03A-PC-Q1AB-05:I,200.0,0.0
SR03A-PC-Q1AB-05:SETI,200.0,0.0
SR03A-PC-HSTR-04:I,5.0,-5.0
SR03A-PC-HSTR-04:SETI,5.0,-5.0
SR03A-PC-S1A-04:I,110.0,0.0
SR03A-PC-S1A-04:SETI,110.0,0.0
SR03A-PC-VSTR-04:I,5.0,-5.0
SR03A-PC-VSTR-04:SETI,5.0,-5.0
SR03A-PC-Q1AB-06:I,200.0,0.0
SR03A-PC-Q1AB-06:SETI,200.0,0.0
SR03A-PC-SQUAD-03:I,5.0,-5.0
SR03A-PC-SQUAD-03:SETI,5.0,-5.0
SR03A-PC-HSTR-05:I,5.0,-5.0
